,DISTRICT_NAME,Value,Crop,Metric,Year
229,Bajhang,710,BARLEY,AREA,1919-8283
230,Bajura,800,BARLEY,AREA,1919-8283
231,Banke,130,BARLEY,AREA,1919-8283
232,Bara,110,BARLEY,AREA,1919-8283
233,Bardiya,70,BARLEY,AREA,1919-8283
234,Bhaktapur,20,BARLEY,AREA,1919-8283
235,Bhojpur,60,BARLEY,AREA,1919-8283
236,Chitwan,900,BARLEY,AREA,1919-8283
237,Dadeldhura,500,BARLEY,AREA,1919-8283
238,Dailekh,700,BARLEY,AREA,1919-8283
239,Dang,100,BARLEY,AREA,1919-8283
240,Darchula,1000,BARLEY,AREA,1919-8283
241,Dhading,260,BARLEY,AREA,1919-8283
242,Dhankuta,30,BARLEY,AREA,1919-8283
243,Dhanusa,510,BARLEY,AREA,1919-8283
244,Dolakha,300,BARLEY,AREA,1919-8283
245,Dolpa,500,BARLEY,AREA,1919-8283
246,Doti,400,BARLEY,AREA,1919-8283
247,Gorkha,230,BARLEY,AREA,1919-8283
248,Gulmi,210,BARLEY,AREA,1919-8283
249,Humla,150,BARLEY,AREA,1919-8283
250,Ilam,10,BARLEY,AREA,1919-8283
251,Jajarkot,800,BARLEY,AREA,1919-8283
252,Jhapa,50,BARLEY,AREA,1919-8283
253,Jumla,1100,BARLEY,AREA,1919-8283
254,Kailali,30,BARLEY,AREA,1919-8283
255,Kalikot,690,BARLEY,AREA,1919-8283
256,Kanchanpur,30,BARLEY,AREA,1919-8283
257,Kapilbastu,180,BARLEY,AREA,1919-8283
258,Kaski,100,BARLEY,AREA,1919-8283
259,Kathmandu,10,BARLEY,AREA,1919-8283
260,Kavre,50,BARLEY,AREA,1919-8283
261,Khotang,130,BARLEY,AREA,1919-8283
262,Lalitpur,40,BARLEY,AREA,1919-8283
263,Lamjung,200,BARLEY,AREA,1919-8283
264,Mahottari,680,BARLEY,AREA,1919-8283
265,Makwanpur,160,BARLEY,AREA,1919-8283
266,Manang,590,BARLEY,AREA,1919-8283
267,Morang,80,BARLEY,AREA,1919-8283
268,Mugu,670,BARLEY,AREA,1919-8283
269,Mustang,900,BARLEY,AREA,1919-8283
270,Myagdi,240,BARLEY,AREA,1919-8283
271,Nawalparasi,50,BARLEY,AREA,1919-8283
272,Nuwakot,70,BARLEY,AREA,1919-8283
273,Okhaldhunga,90,BARLEY,AREA,1919-8283
